#   1 X                Object position along x                                    [pixel]
#   2 Y                Object position along y                                    [pixel]
#   3 MAG              Object magnitude                                           [AB]
#   4 TYPE             Object type                                                [0=star, others=FITS]
#   5 ORIENTATION      Objects orientation                                        [deg]
357.492946 1624.690163 15.000000 0 0.000000 
1149.935484 771.375468 15.022044 0 0.000000 
760.341491 1396.743803 15.044088 0 0.000000 
1325.815936 1368.927502 15.066132 0 0.000000 
708.281425 624.744086 15.088176 0 0.000000 
966.101706 1994.546270 15.110220 0 0.000000 
1279.681939 829.393348 15.132265 0 0.000000 
1045.665158 591.010995 15.154309 0 0.000000 
1273.920170 1863.669908 15.176353 0 0.000000 
1894.682341 1816.927097 15.198397 0 0.000000 
422.085018 645.954003 15.220441 0 0.000000 
1034.142289 423.417101 15.242485 0 0.000000 
942.192300 2054.198970 15.264529 0 0.000000 
1496.586111 74.892037 15.286573 0 0.000000 
1726.162801 23.567405 15.308617 0 0.000000 
298.812086 837.588678 15.330661 0 0.000000 
1587.206711 1657.458818 15.352705 0 0.000000 
258.994199 1111.490396 15.374749 0 0.000000 
1184.639196 1703.021314 15.396794 0 0.000000 
344.232796 329.368820 15.418838 0 0.000000 
1462.552658 1905.031034 15.440882 0 0.000000 
1538.113913 325.178260 15.462926 0 0.000000 
778.722983 397.147077 15.484970 0 0.000000 
1811.447832 1240.507413 15.507014 0 0.000000 
895.770977 188.507502 15.529058 0 0.000000 
1132.993028 2037.702798 15.551102 0 0.000000 
98.605381 728.240756 15.573146 0 0.000000 
1202.451744 381.260598 15.595190 0 0.000000 
687.315325 827.149137 15.617234 0 0.000000 
1815.913154 323.629288 15.639279 0 0.000000 
1661.735027 998.966848 15.661323 0 0.000000 
1349.013279 253.022579 15.683367 0 0.000000 
594.135748 1478.250056 15.705411 0 0.000000 
359.066612 398.390422 15.727455 0 0.000000 
391.583645 873.233558 15.749499 0 0.000000 
1713.974893 711.292022 15.771543 0 0.000000 
898.479732 375.297425 15.793587 0 0.000000 
553.958521 304.647174 15.815631 0 0.000000 
1030.861886 42.017384 15.837675 0 0.000000 
1211.764796 75.703865 15.859719 0 0.000000 
1033.521524 332.969580 15.881764 0 0.000000 
565.846413 1719.092069 15.903808 0 0.000000 
736.888677 248.079134 15.925852 0 0.000000 
159.549927 851.481973 15.947896 0 0.000000 
1858.359326 1026.471843 15.969940 0 0.000000 
1865.183201 1094.854838 15.991984 0 0.000000 
99.989493 1838.223493 16.014028 0 0.000000 
1460.097523 213.947836 16.036072 0 0.000000 
22.828496 1304.185288 16.058116 0 0.000000 
52.813882 1009.011176 16.080160 0 0.000000 
1080.861886 1293.620029 16.102204 0 0.000000 
160.041650 1944.866791 16.124248 0 0.000000 
831.195697 2029.308240 16.146293 0 0.000000 
1208.526486 940.384027 16.168337 0 0.000000 
1088.663299 445.076475 16.190381 0 0.000000 
453.725164 1908.560321 16.212425 0 0.000000 
1654.235957 336.606763 16.234469 0 0.000000 
1723.044553 627.743663 16.256513 0 0.000000 
414.270420 799.720063 16.278557 0 0.000000 
1490.502138 123.770060 16.300601 0 0.000000 
885.202571 96.865625 16.322645 0 0.000000 
1215.653377 1432.822993 16.344689 0 0.000000 
1635.919347 1243.765723 16.366733 0 0.000000 
88.195633 1179.097090 16.388778 0 0.000000 
1270.344680 853.834744 16.410822 0 0.000000 
668.739046 839.506754 16.432866 0 0.000000 
691.930526 588.759476 16.454910 0 0.000000 
614.296367 39.642122 16.476954 0 0.000000 
1650.565441 592.082105 16.498998 0 0.000000 
1683.886182 1151.612755 16.521042 0 0.000000 
7.330600 267.075226 16.543086 0 0.000000 
144.374347 614.175185 16.565130 0 0.000000 
116.538362 1646.544792 16.587174 0 0.000000 
1410.763217 692.062359 16.609218 0 0.000000 
1912.698160 781.594129 16.631263 0 0.000000 
803.107760 1249.999901 16.653307 0 0.000000 
502.432327 695.266951 16.675351 0 0.000000 
1898.354744 1213.699763 16.697395 0 0.000000 
364.316199 1557.895201 16.719439 0 0.000000 
1569.022090 97.553339 16.741483 0 0.000000 
506.823644 1580.762011 16.763527 0 0.000000 
1989.376002 1056.285215 16.785571 0 0.000000 
834.599689 1722.720294 16.807615 0 0.000000 
1467.060216 1577.647933 16.829659 0 0.000000 
243.551374 340.851555 16.851703 0 0.000000 
1781.185855 260.073829 16.873747 0 0.000000 
195.855598 1530.079463 16.895792 0 0.000000 
723.140823 277.265338 16.917836 0 0.000000 
224.032579 186.766404 16.939880 0 0.000000 
1213.061687 340.399835 16.961924 0 0.000000 
931.496227 550.050971 16.983968 0 0.000000 
266.916163 1402.609686 17.006012 0 0.000000 
1816.657520 1768.400464 17.028056 0 0.000000 
400.986949 771.057615 17.050100 0 0.000000 
1908.671190 1372.729246 17.072144 0 0.000000 
920.566518 1851.680333 17.094188 0 0.000000 
1692.495823 1205.896020 17.116232 0 0.000000 
1230.919276 309.479706 17.138277 0 0.000000 
1642.700070 1924.295889 17.160321 0 0.000000 
389.197071 1446.283519 17.182365 0 0.000000 
1310.335358 904.971683 17.204409 0 0.000000 
1472.922881 646.253948 17.226453 0 0.000000 
1800.095556 530.993660 17.248497 0 0.000000 
1496.111657 45.634604 17.270541 0 0.000000 
1745.684320 1477.777346 17.292585 0 0.000000 
1945.592070 2034.173153 17.314629 0 0.000000 
39.667618 1835.265484 17.336673 0 0.000000 
282.943441 2003.517303 17.358717 0 0.000000 
1374.862726 1118.051799 17.380762 0 0.000000 
563.940322 1142.010969 17.402806 0 0.000000 
401.165187 1136.591530 17.424850 0 0.000000 
1779.567317 1304.691550 17.446894 0 0.000000 
1820.025457 444.837163 17.468938 0 0.000000 
361.910595 1737.149297 17.490982 0 0.000000 
1510.876332 361.861595 17.513026 0 0.000000 
137.191394 634.680765 17.535070 0 0.000000 
682.282393 118.593290 17.557114 0 0.000000 
1378.240068 1900.976157 17.579158 0 0.000000 
1076.833055 2032.148360 17.601202 0 0.000000 
1925.067384 313.701737 17.623246 0 0.000000 
1650.297419 134.230717 17.645291 0 0.000000 
1435.276358 1949.328983 17.667335 0 0.000000 
1658.615956 1221.120865 17.689379 0 0.000000 
1723.826863 1434.395565 17.711423 0 0.000000 
1719.337939 462.083488 17.733467 0 0.000000 
1964.460337 1092.314677 17.755511 0 0.000000 
1868.109643 1707.151999 17.777555 0 0.000000 
1600.266242 811.856146 17.799599 0 0.000000 
1346.471614 1569.280447 17.821643 0 0.000000 
87.896266 50.977406 17.843687 0 0.000000 
691.123117 862.147951 17.865731 0 0.000000 
958.029162 1552.573883 17.887776 0 0.000000 
1074.812132 80.915119 17.909820 0 0.000000 
1026.734549 989.495259 17.931864 0 0.000000 
1441.382482 1176.186241 17.953908 0 0.000000 
193.815914 553.772722 17.975952 0 0.000000 
1729.775171 1964.311087 17.997996 0 0.000000 
1829.133583 52.765100 18.020040 0 0.000000 
1582.899279 1924.258971 18.042084 0 0.000000 
1436.756211 104.880458 18.064128 0 0.000000 
1489.962062 1315.317955 18.086172 0 0.000000 
2039.693757 628.614409 18.108216 0 0.000000 
567.131719 1598.484455 18.130261 0 0.000000 
1044.218040 632.434793 18.152305 0 0.000000 
1209.766636 1710.066600 18.174349 0 0.000000 
855.463662 145.705346 18.196393 0 0.000000 
243.768168 1911.207219 18.218437 0 0.000000 
770.439137 1962.315656 18.240481 0 0.000000 
1117.553574 1265.519654 18.262525 0 0.000000 
342.139893 693.100453 18.284569 0 0.000000 
1004.445658 191.639775 18.306613 0 0.000000 
721.773010 959.690717 18.328657 0 0.000000 
1574.257328 1989.394317 18.350701 0 0.000000 
1684.802109 1285.243567 18.372745 0 0.000000 
1640.610347 830.991334 18.394790 0 0.000000 
1848.439994 1588.343918 18.416834 0 0.000000 
649.091751 651.590220 18.438878 0 0.000000 
1310.133947 1111.273367 18.460922 0 0.000000 
1785.302353 1889.361539 18.482966 0 0.000000 
1386.560017 752.143367 18.505010 0 0.000000 
